adresse_typevoie,nb_entites,surface_totale_reelle,competence,presence_cloture,type_ev,poly_area,categorie,annee_ouverture,surface_horticole,perimeter,ouvert_ferme,densite_espaces,ratio_horticole,latitude,longitude,arrondissement,zone_paris,age_espace,taille_categorie,latitude_fixed,longitude_fixed
RUE DE,1.0,200.0,CA,0,Décorations sur la voie publique,202.0,Jardiniere,2020,200.0,181.36106644,2,0.005,1.0,2.415052280347844,48.849197051441635,20.0,Nord,5,Petit,48.849197051441635,2.415052280347844
RUE DU,6.0,43.0,CA,0,Murs végétalisés,1.0,Murs vegetalises,2015,45.52628324056896,11.47229252,2,0.13953488372093023,1.0,2.363553996357872,48.88253456071082,10.0,Est,10,Petit,48.88253456071082,2.363553996357872
RUE DE,1.0,2479.0,CA,1,Promenades ouvertes,2292.0,Square,1900,692.0,192.65087849,1,0.0004033884630899556,0.2791448164582493,2.388915313434033,48.83867696828873,12.0,Sud,125,Moyen,48.83867696828873,2.388915313434033
RUE DES,1.0,43.0,CP,0,Murs végétalisés,202.0,Murs vegetalises,2011,45.52628324056896,623.61806357,2,0.023255813953488372,1.0,2.398506784299209,48.862178411168856,20.0,Nord,14,Petit,48.862178411168856,2.398506784299209
RUE DES,1.0,118.0,CA,1,Jardinets décoratifs,85.0,Plate-bande,1986,70.0,50.81897452,0,0.00847457627118644,0.5932203389830508,2.3510087754725566,48.850870116773635,5.0,Est,39,Petit,48.850870116773635,2.3510087754725566
RUE,1.0,25.0,CA,1,Jardinets décoratifs,23.0,Jardinet,1974,25.0,19.27198332,0,0.04,1.0,2.359276105822046,48.882896636946064,10.0,Est,51,Petit,48.882896636946064,2.359276105822046
RUE,1.0,177.0,CA,0,Décorations sur la voie publique,76.0,Jardinet,2019,177.0,46.22604454,2,0.005649717514124294,1.0,2.2993907899750736,48.84135883865651,15.0,Ouest,6,Petit,48.84135883865651,2.2993907899750736
RUE,1.0,1461.0,CA,0,Décorations sur la voie publique,1104.0,Jardinet,2019,1461.0,979.32783077,2,0.0006844626967830253,1.0,2.3735325186950345,48.83585874903088,13.0,Sud,6,Moyen,48.83585874903088,2.3735325186950345
RUE,3.0,1837.0,CA,1,Jardinets décoratifs,592.0,Plate-bande,1974,1837.0,1124.47147268,0,0.001633097441480675,1.0,2.3266366559248555,48.83644125518589,14.0,Ouest,51,Moyen,48.83644125518589,2.3266366559248555
RUE,1.0,43.0,CP,0,Murs végétalisés,0.0,Murs vegetalises,2008,45.52628324056896,8.60013366,2,0.023255813953488372,1.0,2.3411931307836693,48.853310687074696,6.0,Est,17,Petit,48.853310687074696,2.3411931307836693
